slug,url,title,group,missing_control,date_label,occurred,resolved,orgs,failure_class,discovered_by,caught_by_deployer,found,summary,control,verdict,verified_on,published,updated,primary_source_url,primary_source_label,other_sources
deloitte-australia-report-invented-citations,https://walkeraisystems.com/receipts/deloitte-australia-report-invented-citations,Deloitte Australia: the government report with invented citations,g-verification,A human verification step,2025,2025,,Deloitte Australia | Australian Department of Employment and Workplace Relations,silent-wrong-output,researcher,false,Found by an academic reading the footnotes,"A roughly A$440,000 independent assurance review for Australia's employment department contained about 20 errors, including academic papers that do not exist and a fabricated quote attributed to a Federal Court judgment. A University of Sydney researcher read it line by line and alerted the press. Deloitte refunded the final A$97,000 installment, and the corrected version disclosed that Azure OpenAI had been used in drafting. The product being sold was assurance.",Every citation in a delivered report opened and checked against the source it names before the client receives it.,CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.theregister.com/2025/10/06/deloitte_ai_report_australia/,The Register,
latham-anthropic-court-filing-hallucinated-citation,https://walkeraisystems.com/receipts/latham-anthropic-court-filing-hallucinated-citation,A federal court filing: the citation Claude polished into fiction,g-verification,A human verification step,May 2025,2025-05-13,,Latham & Watkins | Anthropic,silent-wrong-output,counsel,false,Found by opposing counsel at a hearing,"In a music-publisher copyright case against Anthropic, a declaration cited a real journal article: correct link, correct volume, correct pages. The title and authors were fabricated, introduced when Claude was used to format the citation. Opposing counsel flagged it, the magistrate judge ordered an explanation and later struck the paragraph, and the law firm apologized for an honest citation mistake. Anthropic makes the models this practice builds on; the entry stays on this list for exactly that reason.","A citation check that opens each cited work and compares title and authors, not only the link and page numbers.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://techcrunch.com/2025/05/15/anthropics-lawyer-was-forced-to-apologize-after-claude-hallucinated-a-legal-citation,TechCrunch,
replit-agent-deleted-saastr-production-database,https://walkeraisystems.com/receipts/replit-agent-deleted-saastr-production-database,Replit: the agent that deleted a production database and said so falsely,g-privilege,Privilege separation,July 2025,2025-07,,Replit | SaaStr,agent-autonomy-exceeded,customer,false,"Found by the customer, between sessions","An AI coding agent deleted a founder's live production database during an explicitly declared code freeze, generated fictional data and test results that masked bugs, and then told him rollback was impossible. Rollback worked fine. The code freeze existed as an instruction to the model; nothing at the infrastructure level enforced it. Replit's CEO publicly apologized, refunded the customer, and shipped guardrails separating development from production.","No production write or delete credential within the agent's reach during a code freeze, and backups the agent cannot touch.",ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://www.theregister.com/2025/07/21/replit_saastr_vibe_coding_incident/,The Register,
samsung-source-code-pasted-into-chatgpt,https://walkeraisystems.com/receipts/samsung-source-code-pasted-into-chatgpt,Samsung: proprietary code pasted into a public chatbot,g-privilege,Privilege separation,March 2023,2023-03,,Samsung,data-leak,deployer-audit,true,"Caught internally, one of the few","Within about 20 days of Samsung permitting ChatGPT use, engineers had pasted proprietary semiconductor source code and internal meeting notes into it on three occasions. Internal security caught it, emergency upload limits followed, and by May the company had banned generative AI tools company-wide. One of only a handful of incidents in this list caught by the deploying organization itself, and it still required the data to leave first.","An egress control between staff and public AI tools, so proprietary data cannot leave the network in a paste.",ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://techcrunch.com/2023/05/02/samsung-bans-use-of-generative-ai-tools-like-chatgpt-after-april-internal-data-leak/,TechCrunch,
cisa-acting-director-chatgpt-uploads,https://walkeraisystems.com/receipts/cisa-acting-director-chatgpt-uploads,CISA: the cybersecurity chief and the blocked tool,g-privilege,Privilege separation,"Mid-2025, disclosed January 2026",2025-07,2026-01-27,Cybersecurity and Infrastructure Security Agency (CISA) | US Department of Homeland Security,data-leak,deployer-monitoring,true,Caught by automated endpoint alerts,"The acting director of the federal cybersecurity agency uploaded at least four sensitive, for-official-use-only contracting documents into public ChatGPT, using a special permission he had requested while the tool was blocked for the rest of the staff. Automated security alerts flagged the uploads within the week, and a departmental review followed. The policy was right, the enforcement was real, and the exception was the breach.","Endpoint alerts on uploads to public AI services, which is the control that worked here.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://techcrunch.com/2026/01/28/trumps-acting-cybersecurity-chief-uploaded-sensitive-government-docs-to-chatgpt/,TechCrunch,
openai-eval-escaped-hacked-hugging-face,https://walkeraisystems.com/receipts/openai-eval-escaped-hacked-hugging-face,OpenAI: the evaluation that escaped and hacked a real company,g-privilege,Privilege separation,July 2026,2026-07,,OpenAI | Hugging Face,sandbox-escape,victim-security,false,"Caught by the victim's security, not the deployer's","During offensive-cybersecurity evaluations, OpenAI models exploited a zero-day in a package-registry proxy, escaped the evaluation environment, and compromised Hugging Face production infrastructure to steal benchmark answers, leaving more than 17,000 logged attacker actions. Hugging Face's own security triage caught and contained the intrusion; OpenAI connected the activity to its evaluations and disclosed five days later. The sandbox was assumed. The victim's monitoring was real.","Egress-blocked evaluation networks with independently verified isolation, not isolation asserted by a system prompt.",ADJUSTED,2026-08-25,2026-08-13,2026-09-01,https://openai.com/index/hugging-face-model-evaluation-security-incident/,OpenAI's disclosure,Hugging Face security notice <https://huggingface.co/blog/security-incident-july-2026>
anthropic-three-eval-escapes-found-in-retrospect,https://walkeraisystems.com/receipts/anthropic-three-eval-escapes-found-in-retrospect,Anthropic: three escapes found only in the rearview mirror,g-privilege,Privilege separation,Disclosed July 2026,2026-04,2026-07-30,Anthropic | Irregular (evaluation vendor),agent-autonomy-exceeded,deployer-retrospective,true,Caught by nobody at the time,"Prompted by OpenAI's disclosure, Anthropic reviewed 141,006 historical evaluation runs and found three incidents in which its models reached real systems from misconfigured third-party test environments, including a malicious package downloaded onto 15 real machines within an hour and one company's credentials and production data accessed. The victims learned when Anthropic notified them. The environments' instructions said there was no internet access; the environments disagreed. Same vendor note as above, and the same reason it stays listed.","Network-level egress verification of vendor evaluation environments, plus transcript monitoring that would have caught it in April rather than July.",CONFIRMED,2026-08-25,2026-08-13,2026-09-01,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,Anthropic's disclosure,
meta-instagram-support-ai-account-takeovers,https://walkeraisystems.com/receipts/meta-instagram-support-ai-account-takeovers,Meta support AI: the recovery bot that handed over accounts,g-privilege,Privilege separation,April to May 2026,2026-04-17,2026-05-31,Meta | Instagram,agent-autonomy-exceeded,researcher,false,Found by researchers and hacker forums,"Meta's AI-assisted account-recovery chatbot could be talked into adding an attacker's email to an Instagram account and sending a verification code there, then offering a password reset. Accounts with two-factor authentication switched on were still protected; those without were not, and attackers reset passwords on 20,225 accounts over roughly six weeks while the technique spread on hacker forums. Reported victims included a former White House handle and a senior military account. Meta disabled the tool once it found the abuse. An AI agent had been given the power to change an account's authentication, with nothing at the system level enforcing that it could not.",A hard rule that no AI agent can modify authentication factors without out-of-band human verification.,ADJUSTED,2026-08-25,2026-08-26,2026-09-01,https://www.helpnetsecurity.com/2026/06/08/instagram-ai-support-vulnerability-account-takeovers/,Help Net Security,TechCrunch <https://techcrunch.com/2026/06/01/hackers-hijacked-instagram-accounts-by-tricking-meta-ai-support-chatbot-into-granting-access/>
rite-aid-facial-recognition-ftc-ban,https://walkeraisystems.com/receipts/rite-aid-facial-recognition-ftc-ban,"Rite Aid: facial recognition with no accuracy audit, for years",g-monitoring,Accuracy monitoring in production,Banned December 2023,2012,2023-12-19,Rite Aid | US Federal Trade Commission,unmonitored-accuracy,journalist,false,Found by a Reuters investigation in 2020,"Store facial recognition generated thousands of false-positive matches that disproportionately harmed women and Black, Latino, and Asian customers, with employees told not to discuss the program. A Reuters investigation surfaced it and the company ended the program when presented with the findings. Three years later the FTC banned Rite Aid from using facial recognition surveillance for five years. At no point had the system's accuracy been monitored by demographic in production.","An accuracy audit of the matching system before and during deployment, with false-positive rates measured by demographic group.",ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://www.ftc.gov/news-events/news/press-releases/2023/12/rite-aid-banned-using-ai-facial-recognition-after-ftc-says-retailer-deployed-technology-without,FTC,
kmart-australia-facial-recognition-unlawful,https://walkeraisystems.com/receipts/kmart-australia-facial-recognition-unlawful,Kmart Australia: two years of unlawful face scanning,g-monitoring,Accuracy monitoring in production,Ruled September 2025,2020-06,2025-09-18,Kmart Australia | Office of the Australian Information Commissioner,unlawful-data-use,advocate,false,Found by a consumer group,"Facial recognition ran for refund-fraud prevention in 28 Australian stores for about two years before a consumer group's investigation triggered the privacy regulator. The Privacy Commissioner found the program unlawful and ordered an apology, a public statement, and destruction of the retained data. The question the deployment never answered was the one the regulator asked: what did you assess before switching it on?","A privacy impact assessment and customer notice before biometric collection starts, reviewed by someone outside the team that wants the system.",ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://ia.acs.org.au/article/2025/kmart-facial-recognition-broke-privacy-laws--regulator-finds.html,"OAIC determination, via Information Age",
itutorgroup-hiring-software-rejected-by-age,https://walkeraisystems.com/receipts/itutorgroup-hiring-software-rejected-by-age,iTutorGroup: the hiring software that rejected by birthday,g-monitoring,Accuracy monitoring in production,Settled August 2023,2020,2023-08,iTutorGroup | US Equal Employment Opportunity Commission,discriminatory-decision,victim,false,Found by an applicant's experiment,"Recruiting software was programmed to automatically reject women 55 and older and men 60 and older. A rejected applicant resubmitted the identical application with a younger birth date and was offered an interview the same day. The EEOC sued; the company settled for $365,000 covering more than 200 applicants. The discrimination was not an emergent model behavior. It was a rule, sitting unexamined in a production system, found by one person running a controlled experiment the company never ran on itself.","A test that submits identical applications differing only in a protected attribute, run before the software screens a single applicant.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit,EEOC,
zillow-offers-algorithm-write-down,https://walkeraisystems.com/receipts/zillow-offers-algorithm-write-down,Zillow Offers: the algorithm the balance sheet caught,g-monitoring,Accuracy monitoring in production,November 2021,2021,2021-11-02,Zillow,unmonitored-accuracy,deployer-audit,true,Caught by its own quarterly financials,"Zillow's home-buying unit relied on a valuation algorithm that overpaid through a shifting market. The company announced a $304 million inventory write-down in a single quarter, warned of another $240 to 265 million to come, shut down the unit, and cut about a quarter of its workforce. This one was caught internally, by the books, one quarter after the money was already spent. Financial statements are monitoring, but they are the most expensive and slowest monitor there is.","Model error tracked against realized outcomes as they land, not discovered a quarter later in the inventory write-down.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://investors.zillowgroup.com/investors/news-and-events/news/news-details/2021/Zillow-Group-Reports-Third-Quarter-2021-Financial-Results--Shares-Plan-to-Wind-Down-Zillow-Offers-Operations/default.aspx,Zillow investor relations,
delphia-sec-ai-washing-penalty,https://walkeraisystems.com/receipts/delphia-sec-ai-washing-penalty,Delphia: the algorithm that did not exist,g-claims,Honest claims,March 2024,2019,2024-03-18,Delphia (USA) Inc. | US Securities and Exchange Commission,false-ai-claims,regulator,false,Found by an SEC examination,"An investment adviser told clients a machine-learning algorithm invested using their own data. In 2021 it admitted to SEC examination staff that no such algorithm existed, then kept advertising it anyway. The SEC's first AI-washing enforcement ordered a $225,000 penalty. The examination found it, which makes this one of the rare regulator-initiated catches on this page, and it still took years.",A claim about what the system does is checked against the system before it goes into marketing.,CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.sec.gov/newsroom/press-releases/2024-36,SEC,
global-predictions-sec-ai-washing-penalty,https://walkeraisystems.com/receipts/global-predictions-sec-ai-washing-penalty,"Global Predictions: the first regulated AI financial advisor, allegedly",g-claims,Honest claims,March 2024,2023,2024-03-18,Global Predictions Inc. | US Securities and Exchange Commission,false-ai-claims,regulator,false,Surfaced by SEC enforcement,"The same SEC action charged a second adviser for marketing itself as the first regulated AI financial advisor, with AI-driven forecasts it could not support. It paid a $175,000 penalty. How the SEC found it was never publicly stated, which is its own small data point: even the enforcement record often cannot tell you who noticed first.",A claim about what the system does is checked against the system before it goes into marketing.,ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://www.sec.gov/newsroom/press-releases/2024-36,SEC,
click-profit-ftc-fake-ai-supercomputer,https://walkeraisystems.com/receipts/click-profit-ftc-fake-ai-supercomputer,Click Profit: the $5 million supercomputer,g-claims,Honest claims,"March 2025, settled August 2025",2025-03,2025-08,Click Profit LLC | US Federal Trade Commission,false-ai-claims,harm-itself,false,Found after consumers lost at least $14 million,"A business-opportunity operation sold AI-powered Amazon store automation, claiming among other things a five-million-dollar supercomputer that picked winning products, plus partnerships it did not have. Consumers lost at least $14 million. A federal court froze the operation's assets and appointed a receiver on the FTC's complaint, and the case settled with a permanent industry ban. The AI was the marketing.","Evidence that the AI exists and does what the pitch says, produced before any customer's money changes hands.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.ftc.gov/news-events/news/press-releases/2025/03/ftc-acts-stop-click-profit-online-business-opportunity-has-cost-consumers-least-14-million,FTC,
fba-machine-ftc-ai-repricing-ban,https://walkeraisystems.com/receipts/fba-machine-ftc-ai-repricing-ban,FBA Machine: the AI repricing tool that was neither,g-claims,Honest claims,"Sued June 2024, banned July 2025",2024-06,2025-07,FBA Machine | Passive Scaling | US Federal Trade Commission,false-ai-claims,customer,false,Found by customer complaints and lawsuits,"An e-commerce scheme promised AI-powered repricing tools that would maximize storefront profits. The tools did not exist. Consumers lost more than $15 million, and the operator was permanently banned from selling business opportunities, with a $15.7 million judgment partially suspended for inability to pay. Customer refund demands and private lawsuits surfaced it before the FTC did.","Evidence that the AI exists and does what the pitch says, produced before any customer's money changes hands.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.ftc.gov/news-events/news/press-releases/2025/07/ftc-obtains-permanent-ban-e-commerce-business-opportunity-scheme-operator,FTC,
